100	162
AngelinaJolie	1	AndreaYates	2
AaronGuiel	2	AlexandraPelosi	2
AllySheedy	2	AlexanderPayne	3
AlexSink	1	AngelaMascia-Frye	2
AdrianFernandez	3	AndresPastrana	1
AlfonsoPortillo	2	AbbaEban	1
AlecosMarkides	2	AdrianNastase	2
AdelAl-Jubeir	1	AdrienBrody	1
AlfredoMoreno	2	AlexSink	3
AkmalTaher	2	AngelaMascia-Frye	1
AkikoMorigami	1	AliciaWitt	2
AbelPacheco	2	AliAbbas	2
AnjumHussain	2	AlbertoAcosta	3
AlainDucasse	1	AmandaPlumer	2
AlisonLohman	3	AlfonsoCuaron	1
AliMohammedMaher	1	AndreaYates	2
AllisonJanney	2	AngelaMerkel	2
AllysonFelix	1	AngelLockward	1
AdrienBrody	3	AndreBucher	2
AbbasKiarostami	2	AlannaUbach	2
AlejandroToledo	3	AlastairCampbell	1
AngelaMerkel	1	AkhmedZakayev	2
AndrewLuster	2	AngelaBassett	1
AbdoulayeWade	3	AndrewCuomo	1
AdamAnt	3	AgnesBruckner	1
AkbarHashemiRafsanjani	1	AngieMartinez	2
AliciaKeys	2	AlejandroGonzalezInarritu	3
AlDavis	2	AmandaMarsh	2
AishwaryaRai	1	AndyGriffith	1
AmyBrenneman	3	AndyRoddick	4
AndreaBocelli	3	AlfredSant	3
AliciaSilverstone	1	AdamSandler	1
AndrewWetzler	1	AlLeiter	1
AnitaDeFrantz	2	AbdulMajeedShobokshi	3
AngelaBassett	1	AbdelAzizAl-Hakim	2
AmandaPlumer	2	AngieMartinez	3
AmandaBeard	3	AdrianAnnus	3
AlexPenelas	1	AliciaSilverstone	3
AlessandraCerna	2	AndersEbbeson	2
AlbertoGonzales	3	AhmedAhmed	3
AdrianaPerezNavarro	2	AlexPenelas	2
AhmedQureia	3	AbdelAzizAl-Hakim	2
AlanDershowitz	2	AlSharpton	3
AliciaWitt	1	AlSharpton	2
AndreAgassi	1	AlexaVega	3
AndrewFirestone	2	AlexSink	1
AlexKing	2	AndyLau	2
AndyLau	3	AngelaBassett	2
AaronTippin	4	AlfonsoPortillo	1
AbdulMajeedShobokshi	3	AndrewFastow	2
AlbertBrooks	1	AlanBall	4
AlPacino	1	AndreaBocelli	1
AngelLockward	2	AmeliaVega	4
AlexZanardi	1	AleksanderKwasniewski	1
AliAbbas	1	AndreaBocelli	1
AlexandraPelosi	2	AlejandroGonzalezInarritu	1
AlvaroSilvaCalderon	4	AlanDershowitz	1
AngelaMascia-Frye	2	AdoorGopalakarishnan	2
AlexCabrera	3	AlastairCampbell	1
Abdullah	2	AbdelAzizAl-Hakim	1
AdrianNastase	1	AbdoulayeWade	1
AlexisDennisoff	4	AlanisMorissette	3
AndyWarhol	1	AndrewWetzler	2
AlastairCampbell	3	AliciaSilverstone	3
AndrewFastow	1	AngelaMascia-Frye	2
AlysonHannigan	1	AlexCejka	3
AdoorGopalakarishnan	1	AlexanderPayne	3
AgbaniDarego	4	AlbertoAcosta	1
AkbarAlBaker	2	AlLeiter	2
AmramMitzna	3	AlexCejka	1
AaronEckhart	1	AndresPastrana	1
AdamSandler	2	AaronTippin	2
AngieArzola	2	AmyBrenneman	2
AidanQuinn	2	AdrianFernandez	1
AndresDAlessandro	1	AlexandreDaigle	2
AhmadMasood	2	AlPacino	3
AlecBaldwin	1	AlfonsoPortillo	2
AlvaroUribe	4	AbdulazizKamilov	1
AhmetNecdetSezer	1	AlDavis	1
AlyWagner	2	AngieArzola	1
AkhmedZakayev	2	AlexandreHerchcovitch	3
AaronSorkin	1	AlanisMorissette	3
AlfredodiStefano	2	AbdoulayeWade	3
AndyBenes	1	AmberFrey	1
AldoParedes	2	AlmaPowell	3
AlbertoFujimori	3	AlvaroSilvaCalderon	4
AbbaEban	3	AlessandroNesta	1
AlanBall	2	AlfonsoCuaron	1
AbdullahGul	1	AngelaMascia-Frye	1
AdriannaZuzic	1	AidanQuinn	1
AlimzhanTokhtakhounov	1	AngelaMascia-Frye	2
AlejandroGonzalezInarritu	2	AmandaPlumer	1
AlGore	2	AlejandroGonzalezInarritu	3
AlSharpton	1	AmyRedford	3
AbrahamFoxman	2	AndrewLuster	3
AmandaMarsh	2	AlexHolmes	2
AngelaLansbury	1	AndrewWetzler	1
AmberTamblyn	1	AlexisDennisoff	2
AlanisMorissette	3	AndreBucher	2
AlexFerguson	3	AlexandreHerchcovitch	2
AlexisBledel	2	AbrahamFoxman	1
AdrianaLima	3	AliMohammedMaher	1
AlmaPowell	1	AndrewFastow	2
AbdulRahman	1	AlanisMorissette	3
AlexandreHerchcovitch	1	AndreAgassi	1
AbidHamidMahmudAl-Tikriti	2	AlanBall	2
AndersEbbeson	2	AngieArzola	2
AlexandreDaigle	2	AdrianaLima	3
AndrewCuomo	2	AidanQuinn	2
AndreaYates	2	AngelLockward	2
AlekWek	3	AlexisDennisoff	2
AmySmart	3	AlmaPowell	3
AlLeiter	1	AllysonFelix	3
AbdullatifSener	1	AlfredodiStefano	1
AhmedChalabi	2	AbdullahAhmadBadawi	2
AndreasVinciguerra	2	AlexCabrera	1
AlexanderLukashenko	1	AlvaroNoboa	3
AndresManuelLopezObrador	2	AlvaroUribe	2
AmyYasbeck	1	AdelAl-Jubeir	1
AngeloReyes	3	AndrewLuster	1
AmelieMauresmo	2	AldoParedes	2
AgnesBruckner	2	AmyYasbeck	1
AndreaDeCruz	2	AlastairCampbell	2
AndyRoddick	2	AndyGriffith	1
AngieMartinez	3	AlastairCampbell	1
AmrMoussa	2	AlysonHannigan	2
AlexanderPayne	3	AlexandraPelosi	2
AlexandreDespatie	2	AdisaiBodharamik	3
AlexHolmes	1	AlannaUbach	2
AmandaBynes	2	AaronEckhart	1
AmeliaVega	2	AbdulMajeedShobokshi	2
AlessandroNesta	1	AndyBenes	1
AbdullahAhmadBadawi	1	AngelinaJolie	1
AndreBucher	1	1
AlfonsoCuaron	3	1
AbdelAzizAl-Hakim	1	2
AlfredSant	3	2
AnibalIbarra	1	3
AndresPastrana	3	3
AJCook	1	3
AlvaroNoboa	1	1
AndyGarcia	1	1
AndyRooney	1	3
AdisaiBodharamik	3	2
AmberFrey	3	3
AdamScott	2	1
AndyGriffith	2	2
AdrianAnnus	2	2
AndyDick	1	2
AlbertoRuizGallardon	2	1
AlexaVega	1	2
AliKhamenei	1	2
AlexanderDowner	1	1
AhmedAhmed	3	2
AlexCejka	3	3
AndrewBernard	3	5
AmyRedford	1	2
AbdulazizKamilov	2	3
AlbertoAcosta	3	1
AliFallahian	1	2
AleksanderKwasniewski	3	1
AlannaUbach	1	2
AngelinaJolie	2	2
AaronGuiel	1	2
AllySheedy	2	1
AlexSink	2	1
AdrianFernandez	2	3
AlfonsoPortillo	2	1
AlecosMarkides	3	2
AdelAl-Jubeir	2	3
AlfredoMoreno	1	3
AkmalTaher	2	1
AkikoMorigami	1	3
AbelPacheco	2	3
AnjumHussain	1	2
AlainDucasse	3	1
AlisonLohman	1	3
AliMohammedMaher	1	2
AllisonJanney	3	1
AllysonFelix	1	3
AdrienBrody	2	1
AbbasKiarostami	2	3
AlejandroToledo	2	3
AngelaMerkel	1	2
AndrewLuster	1	1
AbdoulayeWade	3	1
AdamAnt	2	3
AkbarHashemiRafsanjani	2	3
AliciaKeys	2	2
AlDavis	2	3
AishwaryaRai	1	1
AmyBrenneman	3	1
AndreaBocelli	2	3
AliciaSilverstone	2	4
AndrewWetzler	1	1
AnitaDeFrantz	3	2
AngelaBassett	3	2
AmandaPlumer	1	2
AmandaBeard	3	5
AlexPenelas	2	3
AlessandraCerna	2	1
AlbertoGonzales	2	1
AdrianaPerezNavarro	3	2
AhmedQureia	1	3
AlanDershowitz	3	3
AliciaWitt	2	2
AndreAgassi	1	1
AndrewFirestone	2	1
AlexKing	1	1
AndyLau	2	2
AaronTippin	4	3
AbdulMajeedShobokshi	1	2
AlbertBrooks	3	3
AlPacino	1	1
AngelLockward	1	1
AlexZanardi	2	2
AliAbbas	1	2
AlexandraPelosi	2	3
AlvaroSilvaCalderon	4	2
AngelaMascia-Frye	1	1
AlexCabrera	1	3
Abdullah	1	2
AdrianNastase	2	1
AlexisDennisoff	4	4
AndyWarhol	2	2
AlastairCampbell	1	2
AndrewFastow	2	1
AlysonHannigan	2	1
AdoorGopalakarishnan	2	3
AgbaniDarego	4	2
AkbarAlBaker	1	2
AmramMitzna	2	3
AaronEckhart	1	3
AdamSandler	1	3
AngieArzola	1	1
AidanQuinn	1	3
AndresDAlessandro	2	2
AhmadMasood	2	2
AlecBaldwin	1	1
AlvaroUribe	4	3
AhmetNecdetSezer	2	3
AlyWagner	2	3
AkhmedZakayev	2	3
AaronSorkin	1	1
AlfredodiStefano	3	3
AndyBenes	1	2
AldoParedes	1	3
AlbertoFujimori	1	3
AbbaEban	2	3
AlanBall	2	1
AbdullahGul	3	1
AdriannaZuzic	1	2
AlimzhanTokhtakhounov	1	1
AlejandroGonzalezInarritu	1	1
AlGore	1	1
AlSharpton	3	2
AbrahamFoxman	2	3
AmandaMarsh	3	1
AngelaLansbury	1	3
AmberTamblyn	2	2
AlanisMorissette	1	3
AlexFerguson	3	3
AlexisBledel	2	3
AdrianaLima	3	2
AlmaPowell	3	2
AbdulRahman	3	3
AlexandreHerchcovitch	1	2
AbidHamidMahmudAl-Tikriti	3	2
AndersEbbeson	1	2
AlexandreDaigle	1	1
AndrewCuomo	1	1
AndreaYates	2	1
AlekWek	3	1
AmySmart	3	1
AlLeiter	1	2
AbdullatifSener	3	2
AhmedChalabi	1	2
AndreasVinciguerra	1	2
AlexanderLukashenko	2	2
AndresManuelLopezObrador	2	2
AmyYasbeck	3	3
AngeloReyes	4	1
AmelieMauresmo	2	1
AgnesBruckner	2	2
AndreaDeCruz	2	2
AndyRoddick	4	3
AngieMartinez	1	1
AmrMoussa	2	3
AlexanderPayne	3	2
AlexandreDespatie	2	2
AlexHolmes	2	1
AmandaBynes	1	2
AmeliaVega	2	2
AlessandroNesta	3	1
AbdullahAhmadBadawi	1	2
AndreBucher	3	AngelaMerkel	2
AlfonsoCuaron	2	AlexSink	1
AbdelAzizAl-Hakim	2	AbbaEban	2
AlfredSant	2	AmberTamblyn	1
AnibalIbarra	1	AlexandreDespatie	1
AndresPastrana	2	AbidHamidMahmudAl-Tikriti	2
AJCook	1	AbdulMajeedShobokshi	1
AlvaroNoboa	2	AnjumHussain	2
AndyGarcia	1	AlejandroToledo	1
AndyRooney	3	AlanBall	1
AdisaiBodharamik	2	AlanBall	3
AmberFrey	3	AhmadMasood	2
AdamScott	1	AlexanderLukashenko	1
AndyGriffith	1	AmberTamblyn	2
AdrianAnnus	1	AdriannaZuzic	2
AndyDick	1	AhmedQureia	3
AlbertoRuizGallardon	2	AmberFrey	2
AlexaVega	1	AleksanderKwasniewski	1
AliKhamenei	2	AhmetNecdetSezer	3
AlexanderDowner	1	AngeloReyes	3
AhmedAhmed	2	AbidHamidMahmudAl-Tikriti	3
AlexCejka	1	AmandaBynes	2
AndrewBernard	3	AngieMartinez	2
AmyRedford	3	AmySmart	2
AbdulazizKamilov	2	AlexanderLukashenko	1
AlbertoAcosta	1	AlessandroNesta	3
AliFallahian	1	AlexPenelas	3
AleksanderKwasniewski	2	AbbaEban	1
AlannaUbach	2	AndyDick	2
