100	200
44	6	9
113	14	6
157	8	8
161	9	9
34	6	4
69	1	14
111	3	3
28	9	7
43	12	6
169	6	9
104	3	8
107	14	12
22	7	11
73	10	14
150	5	13
53	9	5
92	2	10
36	14	10
60	9	12
23	13	1
8	2	13
126	3	3
89	14	1
98	8	9
120	12	8
139	13	1
154	11	4
110	9	13
21	11	13
52	12	2
145	3	1
30	13	12
149	2	13
80	5	13
138	5	10
3	6	2
7	1	3
72	12	11
131	12	7
178	3	5
81	13	7
95	5	5
27	8	5
119	8	2
4	6	11
175	7	11
15	3	3
193	13	9
184	5	3
49	14	13
147	8	11
181	4	11
122	11	5
121	3	6
67	4	2
26	14	12
124	7	4
48	10	9
155	10	14
160	3	8
94	8	5
200	13	2
97	8	11
71	12	5
16	2	14
109	6	7
1	11	3
10	6	13
86	12	1
140	9	10
164	8	1
85	3	14
152	10	12
55	12	2
47	14	9
144	10	4
199	9	5
20	13	11
31	11	7
106	7	5
82	10	2
50	1	1
167	13	9
179	11	3
39	7	8
40	4	2
142	13	6
128	9	3
65	14	8
32	14	3
17	11	5
103	6	14
13	9	4
57	14	14
129	2	4
61	2	3
159	8	10
177	2	7
105	2	6
83	6	3
130	12	9
96	12	8
91	3	9
70	4	1
41	3	115	1
195	1	153	10
191	8	179	2
174	5	170	13
198	2	13	13
108	3	80	3
6	6	197	6
196	14	115	8
123	11	174	1
24	4	165	3
183	13	196	2
156	7	168	11
93	9	56	3
153	10	184	12
68	7	145	3
79	11	23	13
38	12	130	10
33	4	134	7
134	12	83	3
141	2	40	6
163	11	173	11
87	7	154	4
101	1	145	1
51	8	82	7
116	8	29	2
166	12	43	11
132	3	155	11
100	6	89	14
88	4	13	2
194	6	74	10
84	11	133	1
90	5	98	8
11	11	72	2
114	1	138	5
171	8	152	1
112	4	73	2
187	2	157	5
158	3	60	1
186	5	8	11
12	2	118	6
192	1	158	11
35	11	133	9
64	1	42	5
62	11	61	7
180	3	6	1
182	3	166	12
14	13	192	5
151	6	19	1
165	12	38	8
170	4	98	4
148	2	187	7
143	9	183	13
137	8	121	9
99	13	138	10
133	11	16	8
78	5	152	2
189	2	19	10
173	6	145	12
74	9	7	10
188	14	162	13
197	10	166	13
56	2	165	13
19	7	100	8
2	6	101	4
127	7	124	14
37	11	86	2
162	9	6	9
172	6	50	1
58	9	187	12
146	9	105	10
118	2	195	5
75	9	146	4
42	6	12	10
135	9	138	9
76	8	176	4
185	11	88	7
102	14	120	13
9	12	2	2
45	12	63	10
25	10	17	3
54	5	167	9
136	11	82	8
29	11	156	12
125	9	64	5
176	10	85	1
77	8	22	3
168	2	1	10
18	6	58	3
115	8	5	12
66	3	82	1
59	13	67	8
63	13	114	5
46	14	117	11
117	8	11	13
190	1	197	12
5	13	120	14
44	11	65	11
113	3	115	10
157	4	17	1
161	5	44	11
34	10	38	5
69	6	169	9
111	1	10	12
28	5	148	1
43	1	169	8
169	11	8	10
104	5	38	2
107	13	105	5
22	4	88	10
73	1	67	4
150	13	13	1
53	6	151	8
92	4	108	8
36	3	197	4
60	5	184	10
23	12	154	5
8	4	105	10
126	6	22	12
89	9	150	5
98	9	152	2
120	14	80	5
139	10	77	6
154	9	33	13
110	4	157	12
21	13	56	11
52	5	97	6
145	9	24	8
30	3	141	4
149	13	163	7
80	11	66	9
138	5	6	1
3	11	103	2
7	13	43	3
72	10	77	13
131	12	96	6
178	6	12	1
81	2	76	12
95	4	137	8
27	9	92	7
119	11	164	11
4	7	74	13
175	13	144	10
15	6	189	10
193	12	36	12
184	4	11	4
49	12	110	10
147	7	80	12
181	14	114	11
122	10	111	9
121	13	117	10
67	1	85	11
26	7	96	8
124	5	83	4
48	7	115	13
155	4	175	2
160	8	31	14
94	8	34	14
200	4	132	1
97	9	17	13
71	8	153	10
16	6	11	6
109	9	83	2
1	1	54	9
10	13	191	6
86	10	47	5
140	13	65	13
164	5	80	6
85	7	61	12
152	4	159	11
55	1	149	7
47	12	10	6
144	2	2	4
199	3	133	4
20	5	25	1
31	8	59	7
106	11	59	5
82	3	125	3
50	4	44	12
167	1	185	2
179	10	103	11
39	11	122	6
40	13	150	14
142	14	115	4
128	12	13	11
65	11	68	1
32	1	30	13
17	11	145	11
103	3	153	4
13	12	161	6
57	7	175	1
129	10	116	6
61	10	168	14
159	9	54	13
177	4	136	6
105	8	63	11
83	5	112	2
130	9	200	1
96	13	3	3
91	7	48	1
70	9	83	14
41	6	4
195	6	10
191	9	7
174	8	9
198	13	8
108	7	2
6	1	13
196	11	8
123	5	5
24	5	12
183	2	1
156	6	8
93	13	10
153	10	14
68	4	9
79	11	11
38	9	7
33	11	9
134	3	1
141	1	12
163	1	13
87	9	12
101	14	9
51	5	3
116	14	13
166	14	9
132	11	9
100	14	8
88	5	5
194	13	8
84	12	1
90	6	11
11	10	3
114	13	9
171	1	7
112	5	10
187	14	10
158	3	11
186	8	6
12	12	11
192	5	11
35	5	13
64	5	12
62	5	1
180	3	1
182	7	13
14	1	10
151	8	10
165	1	8
170	7	3
148	8	1
143	1	11
137	14	4
99	3	14
133	1	11
78	10	7
189	9	1
173	6	13
74	3	7
188	12	14
197	12	12
56	13	13
19	6	10
2	3	12
127	10	14
37	4	5
162	4	14
172	10	13
58	12	12
146	6	2
118	10	8
75	9	3
42	1	6
135	2	2
76	12	1
185	8	6
102	14	7
9	13	14
45	14	10
25	10	14
54	10	12
136	10	8
29	6	4
125	11	2
176	7	2
77	11	13
168	2	13
18	2	6
115	5	2
66	10	3
59	2	12
63	9	9
46	2	6
117	7	1
190	11	2
5	6	3
44	6	7
113	5	12
157	2	6
161	6	13
34	4	6
69	6	12
111	11	1
28	11	8
43	1	11
169	4	1
104	13	5
107	3	4
22	13	2
73	4	8
150	11	1
53	10	10
92	14	7
36	2	1
60	1	3
23	10	8
8	7	9
126	2	12
89	5	13
98	10	7
120	3	11
139	5	2
154	9	13
110	6	8
21	10	10
52	12	9
145	4	9
30	13	8
149	14	14
80	1	10
138	6	7
3	5	14
7	7	6
72	14	5
131	1	11
178	13	14
81	6	10
95	14	12
27	6	14
119	11	5
4	14	8
175	6	1
15	13	5
193	10	7
184	6	5
49	8	1
147	12	4
181	12	2
122	2	9
121	10	2
67	11	3
26	1	1
124	6	10
48	11	6
155	1	10
160	14	9
94	7	3
200	7	1
97	1	14
71	9	14
16	2	9
109	13	7
1	1	4
10	3	12
86	8	4
140	10	11
164	4	4
85	1	11
152	4	12
55	10	5
47	4	6
144	13	1
199	3	3
20	6	5
31	3	14
106	12	8
82	4	13
50	11	7
167	13	7
179	6	4
39	10	13
40	1	3
142	7	8
128	13	2
65	9	9
32	12	11
17	1	10
103	8	8
13	10	9
57	10	1
129	13	6
61	3	1
159	3	5
177	1	14
105	12	13
83	1	6
130	14	12
96	2	8
91	12	6
70	10	11
41	11	131	2
195	13	129	4
191	11	150	2
174	5	187	14
198	9	144	7
108	2	104	10
6	8	102	13
196	4	181	10
123	11	109	2
24	14	135	9
183	4	121	10
156	7	98	6
93	9	150	7
153	1	114	9
68	11	111	12
79	9	179	9
38	4	145	12
33	14	66	10
134	11	67	8
141	8	70	14
163	9	175	4
87	13	35	10
101	1	5	4
51	13	53	2
116	7	37	11
166	9	2	1
132	12	20	8
100	13	80	3
88	11	27	12
194	4	200	8
84	7	169	8
90	3	30	5
11	10	124	14
114	4	107	9
171	13	12	2
112	11	3	11
187	13	17	4
158	7	199	3
186	10	91	6
12	13	81	13
192	4	173	11
35	8	118	14
64	4	73	4
62	6	133	12
180	11	17	14
182	13	101	8
14	14	185	4
151	5	170	12
165	5	105	3
170	5	29	10
148	6	81	6
143	13	38	3
137	12	104	3
99	9	26	8
133	5	174	12
78	14	179	5
189	3	147	9
173	8	14	1
74	13	149	2
188	14	143	14
197	4	120	7
56	4	181	3
19	9	117	5
2	9	114	2
127	3	153	12
37	13	115	2
162	10	190	6
172	12	58	14
58	1	96	3
146	14	161	11
118	6	132	13
75	9	12	7
42	1	70	12
135	11	54	6
76	11	154	10
185	11	36	11
102	4	105	6
9	11	69	3
45	5	110	13
25	5	28	14
54	12	199	5
136	5	1	5
29	1	148	10
125	13	103	5
176	11	121	5
77	7	105	9
168	1	38	2
18	8	61	10
115	14	149	5
66	1	142	10
59	9	34	11
63	2	157	11
46	2	109	11
117	12	199	12
190	11	100	7
5	9	66	7
44	9	36	3
113	10	1	6
157	5	8	3
161	11	199	5
34	13	3	13
69	3	171	10
111	2	79	5
28	10	158	6
43	5	181	5
169	12	29	13
104	10	97	10
107	3	118	7
22	5	120	4
73	12	31	14
150	2	63	2
53	10	24	7
92	9	31	3
36	1	139	10
60	13	164	5
23	14	72	13
8	8	16	8
126	7	168	9
89	12	96	12
98	3	69	2
120	12	65	3
139	1	29	13
154	10	132	8
110	14	191	5
21	2	85	1
52	13	121	13
145	5	95	6
30	6	40	13
149	10	128	14
80	2	175	4
138	4	52	14
3	1	71	3
7	2	116	8
72	11	190	9
131	12	33	14
178	5	133	2
81	3	18	12
95	7	85	13
27	8	177	5
119	4	100	2
4	1	125	1
175	7	17	6
15	5	131	3
193	8	23	9
184	7	22	2
49	10	108	2
147	1	151	8
181	2	179	1
122	7	12	14
121	10	180	11
67	10	22	10
26	14	61	7
124	1	179	10
48	14	96	5
155	2	50	1
160	12	175	12
94	10	87	14
200	1	19	2
97	3	106	5
71	14	114	6
16	7	135	11
109	10	182	2
1	8	76	3
10	1	23	3
86	8	96	13
140	4	99	8
164	4	160	3
85	11	39	8
152	13	58	4
55	7	25	1
47	4	161	2
144	2	45	7
199	13	25	7
20	7	69	8
31	6	181	1
106	13	149	2
82	8	180	7
50	3	44	5
167	8	198	10
179	9	108	6
39	4	49	4
40	3	6	2
142	1	144	8
128	4	129	12
65	9	189	1
32	2	135	3
17	9	25	1
103	3	194	2
13	13	11	3
57	5	138	7
129	11	50	13
61	14	120	2
159	7	78	14
177	3	185	14
105	13	72	5
83	1	125	7
130	9	91	10
96	8	6	12
91	10	70	1
70	9	177	4
41	2	14
195	3	13
191	8	7
174	3	10
198	9	11
108	4	10
6	3	1
196	5	1
123	12	6
24	9	8
183	1	7
156	7	12
93	14	12
153	13	3
68	10	9
79	4	7
38	2	14
33	2	8
134	11	5
141	9	7
163	12	13
87	13	14
101	13	11
51	12	14
116	6	4
166	5	14
132	11	5
100	5	6
88	2	1
194	3	8
84	8	9
90	9	1
11	11	7
114	12	12
171	8	9
112	14	1
187	13	7
158	8	8
186	4	2
12	2	10
192	7	5
35	8	8
64	1	5
62	2	14
180	4	11
182	13	3
14	4	9
151	8	10
165	6	11
170	12	7
148	11	10
143	9	13
137	8	11
99	5	5
133	1	10
78	10	7
189	11	4
173	7	8
74	13	9
188	14	4
197	6	8
56	2	9
19	4	9
2	10	9
127	6	11
37	10	3
162	13	9
172	6	9
58	1	8
146	13	7
118	8	13
75	2	12
42	2	12
135	13	11
76	3	14
185	8	9
102	13	8
9	2	10
45	7	9
25	13	7
54	11	3
136	6	12
29	1	2
125	13	6
176	1	3
77	14	1
168	14	12
18	12	11
115	14	11
66	1	9
59	1	8
63	3	4
46	13	11
117	3	3
190	10	14
5	6	9
44	9	7
113	6	7
157	3	6
161	3	13
34	1	2
69	3	10
111	12	5
28	4	1
43	7	5
169	4	5
104	14	9
107	5	14
22	10	2
73	7	10
150	8	14
53	7	1
92	12	8
36	2	8
60	2	9
23	13	9
8	11	8
126	9	8
89	2	5
98	8	9
120	8	8
139	2	5
154	5	2
110	11	9
21	11	5
52	4	7
145	12	9
30	6	3
149	13	10
80	9	2
138	14	14
3	9	10
7	11	14
72	10	4
131	10	7
178	2	14
81	5	3
95	11	5
27	14	11
119	8	7
4	11	3
175	13	1
15	2	11
193	7	2
184	1	3
49	8	5
147	14	2
181	9	7
122	8	2
121	1	9
67	13	11
26	11	9
124	2	9
48	8	10
155	6	14
160	2	7
94	2	7
200	7	7
97	8	6
71	11	9
16	10	12
109	11	12
1	3	10
10	14	1
86	4	2
140	2	4
164	12	11
85	10	5
152	5	12
55	5	9
47	3	4
144	12	5
199	6	11
20	7	5
31	11	5
106	1	10
82	10	6
50	14	13
167	7	6
179	8	8
39	4	4
40	10	2
142	13	1
128	8	1
65	10	10
32	7	11
17	13	12
103	5	2
13	6	6
57	14	11
129	7	6
61	14	8
159	1	11
177	14	5
105	7	3
83	7	10
130	4	11
96	12	9
91	11	12
70	2	11
41	4	106	10
195	1	21	10
191	1	80	3
174	4	149	9
198	8	129	6
108	8	16	3
6	8	138	12
196	2	156	3
123	4	1	4
24	7	46	9
183	10	123	11
156	5	180	5
93	2	73	13
153	9	54	13
68	9	57	1
79	13	68	13
38	4	87	3
33	5	117	10
134	7	9	12
141	11	191	2
163	7	89	8
87	2	85	8
101	3	93	10
51	3	123	4
116	3	155	10
166	1	45	7
132	3	28	11
100	1	60	10
88	13	86	6
194	7	184	3
84	12	126	2
90	6	73	5
11	9	163	12
114	5	168	1
171	8	94	14
112	7	118	3
187	14	85	4
158	5	60	13
186	6	158	1
12	2	42	3
192	1	185	11
35	11	109	2
64	3	78	6
62	2	61	9
180	9	62	3
182	7	171	7
14	1	177	4
151	12	6	11
165	13	159	9
170	10	99	10
148	11	91	2
143	10	60	3
137	3	76	7
99	11	110	4
133	1	177	7
78	13	149	1
189	5	48	3
173	9	135	6
74	7	195	10
188	4	32	12
197	14	82	13
56	2	181	3
19	2	89	6
2	4	60	13
127	13	22	9
37	2	189	10
162	10	133	14
172	5	195	9
58	2	191	11
146	1	186	3
118	3	198	7
75	11	132	10
42	9	15	8
135	9	176	2
76	5	66	3
185	13	143	11
102	6	11	6
9	13	23	6
45	10	200	12
25	1	156	7
54	2	74	6
136	10	111	3
29	6	85	7
125	6	92	9
176	3	110	8
77	2	123	5
168	1	63	4
18	8	189	7
115	13	186	1
66	4	41	3
59	12	145	7
63	2	75	8
46	13	28	3
117	13	81	2
190	13	125	10
5	6	179	13
44	12	133	6
113	10	131	9
157	5	93	13
161	12	61	12
34	1	171	10
69	2	174	9
111	11	7	13
28	2	129	6
43	11	27	1
169	5	158	9
104	3	3	10
107	7	17	14
22	6	65	9
73	1	2	4
150	13	141	2
53	14	79	6
92	8	194	11
36	8	70	14
60	5	20	2
23	11	154	1
8	13	55	3
126	13	197	1
89	9	146	2
98	13	114	9
120	7	196	6
139	5	105	12
154	5	2	4
110	8	142	6
21	12	185	12
52	11	194	8
145	2	138	3
30	4	90	2
149	3	179	14
80	12	20	3
138	7	181	13
3	9	146	9
7	12	153	1
72	1	125	10
131	11	187	2
178	4	103	5
81	3	56	13
95	5	98	3
27	7	62	2
119	14	74	13
4	6	127	4
175	2	3	13
15	13	1	3
193	6	140	8
184	1	4	8
49	2	62	14
147	3	6	5
181	3	113	12
122	11	99	14
121	6	28	9
67	2	112	12
26	14	100	4
124	2	65	6
48	1	96	10
155	11	112	13
160	12	168	4
94	1	53	13
200	3	64	3
97	9	79	11
71	7	162	11
16	5	24	10
109	6	14	13
1	13	153	10
10	10	103	4
86	7	34	8
140	2	48	10
164	12	87	12
85	7	135	1
152	8	86	13
55	11	74	14
47	3	180	8
144	10	128	10
199	8	50	11
20	12	59	10
31	5	105	9
106	10	101	4
82	14	109	1
50	5	18	1
167	11	123	9
179	6	154	11
39	4	129	13
40	9	1	8
142	14	147	5
128	8	104	6
65	8	16	2
32	6	64	9
17	11	191	11
103	2	75	11
13	14	87	1
57	2	176	1
129	11	157	8
61	7	30	10
159	1	32	1
177	7	15	2
105	12	42	4
83	8	173	11
130	2	108	8
96	5	186	9
91	3	129	11
70	2	83	6
41	6	6
195	6	7
191	10	2
174	6	14
198	14	14
108	4	9
6	14	13
196	8	14
123	6	3
24	14	13
183	13	7
156	6	12
93	3	3
153	5	8
68	9	10
79	14	12
38	2	13
33	5	8
134	13	2
141	12	6
163	13	4
87	1	8
101	13	3
51	9	12
116	1	13
166	10	9
132	13	11
100	8	2
88	8	5
194	14	13
84	1	5
90	5	6
11	5	1
114	1	11
171	1	8
112	3	12
187	1	4
158	6	12
186	6	7
12	8	4
192	1	10
35	10	6
64	3	3
62	1	7
180	14	13
182	6	2
14	4	11
151	14	9
165	10	9
170	10	14
148	2	8
143	7	10
137	6	7
99	7	7
133	8	10
78	12	10
189	1	5
173	1	1
74	11	8
188	6	2
197	2	6
56	5	9
19	10	1
2	2	5
127	2	11
37	1	2
162	13	6
172	7	2
58	7	12
146	3	4
118	4	1
75	4	3
42	7	6
135	9	4
76	10	2
185	2	9
102	9	4
9	11	10
45	14	10
25	12	12
54	2	9
136	7	8
29	12	10
125	14	13
176	9	5
77	6	14
168	4	12
18	6	9
115	4	10
66	4	1
59	7	14
63	10	2
46	14	11
117	5	3
190	14	11
5	2	1
44	3	3
113	5	13
157	4	9
161	10	1
34	12	12
69	13	14
111	2	2
28	6	7
43	8	1
169	3	2
104	8	11
107	8	3
22	4	1
73	3	13
150	2	10
53	5	11
92	5	12
36	4	10
60	9	12
23	11	10
8	3	14
126	8	12
89	3	10
98	10	10
120	7	11
139	7	6
154	1	14
110	6	1
21	1	6
52	13	13
145	9	3
30	6	14
149	13	2
80	10	10
138	6	5
3	11	2
7	10	14
72	9	6
131	14	4
178	11	10
81	3	3
95	2	8
27	3	8
119	10	5
4	5	8
175	1	11
15	9	10
193	3	12
184	13	7
49	3	5
147	10	11
181	7	4
122	11	7
121	6	3
67	11	8
26	10	4
124	3	13
48	7	4
155	5	8
160	7	1
94	7	10
200	11	8
97	12	2
71	7	2
16	4	12
109	9	10
1	12	1
10	9	5
86	2	13
140	6	12
164	4	11
85	11	13
152	3	7
55	1	1
47	9	11
144	4	3
199	8	13
20	10	12
31	6	1
106	3	4
82	6	7
50	10	11
167	5	12
179	14	5
39	13	1
40	11	6
142	10	8
128	10	13
65	1	6
32	2	11
17	4	9
103	8	14
13	14	12
57	1	11
129	9	3
61	10	13
159	7	12
177	2	11
105	11	12
83	10	8
130	1	3
96	1	3
91	13	14
70	1	12
41	5	151	6
195	3	98	1
191	9	131	12
174	4	34	2
198	14	146	5
108	8	47	10
6	3	158	11
196	6	82	3
123	6	25	1
24	8	59	12
183	12	164	3
156	8	86	2
93	9	149	13
153	4	106	9
68	3	185	1
79	8	3	8
38	7	4	7
33	9	136	3
134	7	29	13
141	3	134	8
163	9	199	2
87	6	79	8
101	12	90	8
51	8	115	3
116	13	79	5
166	14	73	11
132	5	36	12
100	5	119	7
88	7	173	8
194	11	181	1
84	13	195	4
90	11	89	7
11	6	197	3
114	9	170	10
171	1	9	11
112	9	51	9
187	7	186	8
158	4	190	6
186	7	167	8
12	7	50	11
192	1	189	8
35	5	33	5
64	12	107	4
62	8	59	8
180	3	128	1
182	2	20	8
14	10	10	3
151	7	169	6
165	10	196	14
170	5	153	4
148	4	156	3
143	14	189	5
137	2	196	6
99	10	55	9
133	5	136	13
78	9	166	12
189	4	19	1
173	3	105	9
74	9	178	14
188	3	96	13
197	10	6	6
56	10	52	8
19	5	87	1
2	8	104	5
127	7	50	11
37	6	24	13
162	6	8	7
172	1	113	10
58	5	180	13
146	1	189	12
118	10	46	9
75	14	77	2
42	11	84	8
135	11	27	9
76	1	51	7
185	1	100	12
102	6	113	3
9	1	113	5
45	13	85	9
25	4	99	12
54	3	90	3
136	12	65	5
29	9	92	14
125	12	160	3
176	10	141	8
77	2	107	12
168	13	5	9
18	2	127	12
115	5	27	2
66	10	53	4
59	13	19	12
63	6	71	9
46	10	83	9
117	10	161	14
190	10	164	2
5	4	105	10
44	10	171	2
113	1	10	7
157	11	30	13
161	11	80	5
34	10	136	6
69	1	99	9
111	14	154	6
28	12	41	10
43	3	99	7
169	9	47	3
104	2	116	6
107	13	77	1
22	10	28	6
73	9	91	5
150	9	194	5
53	14	126	3
92	6	48	14
36	8	126	12
60	14	41	6
23	13	10	9
8	7	39	10
126	4	49	6
89	14	164	1
98	12	145	10
120	6	115	11
139	8	111	2
154	7	9	12
110	12	164	2
21	3	175	6
52	5	118	3
145	9	49	12
30	4	74	9
149	4	110	1
80	7	1	1
138	8	3	6
3	9	156	7
7	11	142	2
72	12	68	5
131	6	135	13
178	3	153	11
81	12	179	3
95	3	167	7
27	7	23	8
119	1	190	5
4	6	151	1
175	6	49	6
15	5	98	4
193	9	44	4
184	9	74	7
49	5	120	13
147	7	102	4
181	7	188	11
122	2	14	5
121	4	63	1
67	7	7	8
26	13	7	2
124	5	3	5
48	9	22	7
155	6	132	8
160	1	40	1
94	14	183	5
200	1	98	9
97	7	47	2
71	12	119	9
16	1	197	6
109	7	130	2
1	6	51	5
10	10	46	2
86	9	56	8
140	9	47	10
164	9	151	12
85	13	102	3
152	2	49	12
55	12	62	12
47	8	173	11
144	2	112	10
199	3	19	7
20	11	79	3
31	12	33	10
106	6	190	13
82	14	77	10
50	13	95	8
167	13	34	3
179	14	62	1
39	7	112	3
40	9	162	12
142	3	11	3
128	6	122	2
65	2	89	3
32	11	194	8
17	13	11	13
103	12	179	14
13	7	35	2
57	9	63	14
129	8	93	3
61	3	56	10
159	5	47	1
177	7	121	10
105	1	152	11
83	4	79	11
130	1	36	3
96	3	200	8
91	2	185	3
